"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub00314";0,58;0,63;0,72;0,97;0,74;0,82;0,79;0,82;0,65;0,66;0,001;0,999;0,999;0,999;0,999;0,999;0,999
"sub01082";0,27;0,14;0,6;0,61;0,35;0,47;0,36;0,62;0,58;0,65;0,19;0,83;0,1;0,86;0,96;0,98;0,999
"sub00653";0,02;0,18;0,83;0,999;0,001;0,18;0,04;0,29;0,93;0,28;0,21;0,001;0,04;0,02;0,85;0,68;0,65
"sub00227";0,14;0,74;0,06;0,72;0,07;0,3;0,39;0,56;0,32;0,77;0,2;0,1;0,15;0,16;0,6;0,22;0,24
"sub01445";0,26;0,45;0,68;0,31;0,16;0,3;0,38;0,29;0,58;0,64;0,06;0,08;0,12;0,01;0,64;0,75;0,23
"sub01155";0,47;0,89;0,51;0,69;0,93;0,78;0,82;0,66;0,83;0,95;0,33;0,8;0,08;0,03;0,98;0,999;0,31
"sub00734";0,12;0,48;0,999;0,67;0,16;0,14;0,75;0,96;0,1;0,89;0,71;0,53;0,2;0,65;0,27;0,03;0,69
"sub01179";0,83;0,37;0,74;0,64;0,65;0,65;0,69;0,72;0,27;0,44;0,39;0,36;0,51;0,51;0,61;0,53;0,5
"sub00720";0,06;0,1;0,63;0,73;0,62;0,4;0,59;0,52;0,69;0,46;0,16;0,09;0,11;0,16;0,67;0,11;0,17
"sub00109";0,46;0,38;0,37;0,55;0,61;0,66;0,71;0,23;0,82;0,75;0,14;0,75;0,37;0,3;0,86;0,8;0,94
"sub01412";0,88;0,63;0,88;0,98;0,999;0,89;0,88;0,89;0,51;0,94;0,17;0,7;0,89;0,86;0,84;0,81;0,8
"sub00434";0,57;0,76;0,07;0,94;0,63;0,54;0,71;0,44;0,999;0,81;0,08;0,999;0,33;0,96;0,999;0,999;0,999
"sub00178";0,04;0,61;0,52;0,79;0,24;0,25;0,44;0,62;0,08;0,58;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub01439";0,55;0,68;0,68;0,8;0,68;0,55;0,77;0,58;0,49;0,48;0,55;0,63;0,29;0,66;0,82;0,65;0,8
"sub01049";0,42;0,48;0,04;0,76;0,65;0,76;0,999;0,999;0,39;0,73;0,001;0,06;0,02;0,15;0,83;0,97;0,9
"sub00229";0,71;0,96;0,14;0,49;0,83;0,67;0,96;0,999;0,999;0,999;0,22;0,001;0,999;0,87;0,49;0,16;0,001
"sub01305";0,8;0,4;0,02;0,63;0,64;0,66;0,63;0,65;0,91;0,71;0,001;0,001;0,09;0,05;0,63;0,001;0,62
"sub01499";0,28;0,63;0,62;0,7;0,42;0,38;0,77;0,77;0,58;0,63;0,16;0,57;0,22;0,69;0,81;0,74;0,88
"sub00606";0,8;0,02;0,11;0,43;0,97;0,999;0,87;0,999;0,999;0,47;0,001;0,999;0,02;0,999;0,999;0,999;0,999
"sub00492";0,29;0,19;0,999;0,95;0,62;0,53;0,67;0,85;0,38;0,52;0,15;0,999;0,001;0,001;0,6;0,93;0,6
"sub00669";0,56;0,25;0,16;0,44;0,67;0,8;0,76;0,89;0,79;0,74;0,06;0,69;0,25;0,64;0,85;0,77;0,69
"sub01044";0,52;0,37;0,18;0,55;0,34;0,49;0,7;0,69;0,92;0,35;0,28;0,63;0,19;0,28;0,81;0,74;0,83
"sub01564";0,37;0,23;0,42;0,76;0,75;0,31;0,36;0,4;0,49;0,86;0,001;0,01;0,001;0,1;0,77;0,31;0,08
"sub00267";0,65;0,15;0,28;0,62;0,77;0,59;0,72;0,7;0,58;0,28;0,07;0,31;0,19;0,27;0,6;0,51;0,77
"sub00204";0,36;0,76;0,97;0,56;0,42;0,46;0,35;0,17;0,2;0,57;0,2;0,78;0,43;0,62;0,75;0,7;0,87
"sub00054";0,08;0,49;0,95;0,88;0,51;0,18;0,51;0,51;0,87;0,91;0,001;0,5;0,07;0,19;0,39;0,61;0,71
"sub00566";0,77;0,22;0,51;0,93;0,98;0,78;0,75;0,69;0,66;0,41;0,03;0,57;0,91;0,999;0,999;0,94;0,98
"sub00160";0,59;0,62;0,88;0,66;0,6;0,45;0,36;0,37;0,45;0,52;0,27;0,45;0,4;0,36;0,63;0,42;0,66
"sub00858";0,54;0,09;0,999;0,08;0,001;0,31;0,53;0,53;0,999;0,001;0,63;0,001;0,001;0,001;0,999;0,001;0,001
"sub00426";0,03;0,92;0,999;0,98;0,01;0,23;0,95;0,44;0,03;0,97;0,16;0,001;0,001;0,001;0,001;0,001;0,001
"sub00448";0,57;0,72;0,48;0,46;0,7;0,69;0,999;0,999;0,61;0,68;0,35;0,26;0,37;0,34;0,57;0,35;0,12
"sub00312";0,15;0,33;0,23;0,38;0,55;0,31;0,37;0,49;0,21;0,48;0,35;0,5;0,02;0,07;0,68;0,49;0,3
"sub01590";0,54;0,35;0,001;0,09;0,85;0,51;0,5;0,51;0,78;0,52;0,001;0,02;0,001;0,001;0,001;0,001;0,001
"sub01024";0,999;0,65;0,8;0,999;0,999;0,92;0,88;0,999;0,85;0,62;0,31;0,74;0,999;0,64;0,999;0,56;0,999
"sub00600";0,56;0,43;0,03;0,56;0,64;0,7;0,79;0,75;0,31;0,58;0,07;0,92;0,12;0,91;0,999;0,97;0,999
"sub01528";0,01;0,35;0,07;0,26;0,02;0,05;0,08;0,19;0,44;0,52;0,01;0,001;0,01;0,59;0,001;0,27;0,03
"sub00485";0,07;0,07;0,01;0,25;0,28;0,18;0,15;0,29;0,48;0,32;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub01193";0,04;0,71;0,001;0,51;0,48;0,57;0,81;0,71;0,999;0,999;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00964";0,3;0,47;0,33;0,46;0,7;0,75;0,84;0,79;0,59;0,6;0,14;0,26;0,87;0,001;0,999;0,55;0,5
"sub00179";0,5;0,71;0,72;0,45;0,63;0,5;0,5;0,5;0,92;0,74;0,001;0,3;0,51;0,14;0,93;0,95;0,9
"sub01488";0,01;0,57;0,001;0,001;0,03;0,04;0,03;0,16;0,001;0,33;0,001;0,001;0,03;0,001;0,001;0,02;0,69
"sub00281";0,11;0,42;0,28;0,22;0,38;0,94;0,75;0,54;0,74;0,55;0,03;0,02;0,02;0,07;0,65;0,03;0,07
"sub01022";0,999;0,98;0,88;0,96;0,96;0,87;0,9;0,86;0,83;0,86;0,21;0,88;0,51;0,81;0,73;0,74;0,76
"sub00237";0,11;0,35;0,12;0,05;0,35;0,45;0,45;0,42;0,54;0,43;0,001;0,06;0,03;0,05;0,66;0,33;0,14
"sub00407";0,22;0,24;0,04;0,36;0,51;0,42;0,41;0,39;0,19;0,22;0,001;0,38;0,001;0,001;0,66;0,87;0,91
"sub00580";0,59;0,13;0,73;0,9;0,51;0,62;0,7;0,999;0,8;0,78;0,28;0,47;0,001;0,54;0,83;0,06;0,63
"sub00452";0,5;0,96;0,69;0,89;0,84;0,98;0,999;0,96;0,98;0,75;0,03;0,94;0,94;0,98;0,38;0,25;0,9
"sub00751";0,2;0,74;0,47;0,73;0,75;0,38;0,15;0,23;0,33;0,18;0,12;0,18;0,12;0,27;0,04;0,13;0,1
"sub01012";0,77;0,97;0,07;0,59;0,8;0,95;0,999;0,999;0,999;0,89;0,23;0,999;0,999;0,999;0,999;0,1;0,03
"sub00544";0,37;0,34;0,22;0,32;0,61;0,48;0,58;0,74;0,76;0,57;0,43;0,06;0,66;0,43;0,63;0,12;0,12
"sub00619";0,73;0,68;0,33;0,53;0,94;0,87;0,999;0,999;0,999;0,8;0,22;0,999;0,74;0,15;0,999;0,94;0,51
"sub00777";0,5;0,63;0,38;0,44;0,5;0,29;0,52;0,61;0,68;0,53;0,11;0,26;0,69;0,67;0,88;0,83;0,74
"sub01460";0,69;0,77;0,51;0,78;0,84;0,79;0,68;0,68;0,8;0,8;0,001;0,68;0,56;0,8;0,999;0,999;0,999
"sub00413";0,18;0,21;0,43;0,35;0,25;0,26;0,19;0,24;0,69;0,34;0,001;0,001;0,001;0,68;0,04;0,001;0,001
"sub00555";0,24;0,18;0,4;0,57;0,38;0,58;0,999;0,75;0,37;0,39;0,32;0,63;0,18;0,66;0,41;0,48;0,56
"sub00812";0,67;0,85;0,64;0,67;0,72;0,87;0,85;0,75;0,66;0,8;0,34;0,69;0,999;0,999;0,999;0,999;0,88
"sub00692";0,84;0,31;0,42;0,91;0,7;0,89;0,89;0,86;0,93;0,84;0,25;0,3;0,75;0,84;0,84;0,82;0,8
"sub00928";0,06;0,42;0,97;0,84;0,25;0,21;0,31;0,31;0,57;0,8;0,14;0,19;0,08;0,1;0,28;0,04;0,48
"sub01167";0,76;0,38;0,001;0,01;0,78;0,41;0,81;0,82;0,42;0,23;0,001;0,15;0,001;0,001;0,96;0,65;0,999
"sub00429";0,56;0,86;0,999;0,7;0,54;0,57;0,84;0,68;0,5;0,89;0,48;0,5;0,52;0,69;0,88;0,999;0,999
"sub00302";0,17;0,15;0,5;0,62;0,5;0,5;0,56;0,57;0,83;0,18;0,28;0,03;0,71;0,57;0,91;0,52;0,29
"sub00581";0,28;0,1;0,001;0,65;0,8;0,68;0,86;0,33;0,97;0,56;0,37;0,01;0,001;0,18;0,9;0,05;0,001
"sub00480";0,05;0,06;0,07;0,39;0,36;0,18;0,21;0,08;0,85;0,4;0,03;0,14;0,48;0,17;0,26;0,3;0,38
"sub00183";0,51;0,999;0,999;0,999;0,53;0,53;0,73;0,78;0,999;0,78;0,001;0,82;0,54;0,52;0,999;0,999;0,999
"sub00986";0,58;0,34;0,2;0,16;0,74;0,58;0,58;0,59;0,81;0,49;0,001;0,27;0,56;0,6;0,71;0,62;0,54
"sub01580";0,58;0,48;0,1;0,51;0,81;0,96;0,999;0,999;0,75;0,77;0,15;0,83;0,89;0,9;0,98;0,52;0,85
"sub00737";0,01;0,02;0,05;0,02;0,01;0,001;0,06;0,24;0,48;0,03;0,32;0,17;0,03;0,05;0,91;0,001;0,01
"sub01101";0,87;0,1;0,71;0,82;0,82;0,91;0,92;0,86;0,999;0,98;0,06;0,06;0,5;0,001;0,999;0,5;0,999
"sub01248";0,49;0,27;0,05;0,61;0,5;0,51;0,57;0,59;0,84;0,64;0,23;0,05;0,09;0,04;0,77;0,09;0,08
"sub00154";0,001;0,001;0,05;0,32;0,001;0,001;0,001;0,001;0,85;0,61;0,2;0,05;0,24;0,19;0,999;0,54;0,2
"sub00558";0,82;0,52;0,57;0,82;0,999;0,57;0,52;0,51;0,6;0,51;0,001;0,85;0,85;0,8;0,999;0,74;0,9
"sub00093";0,47;0,59;0,78;0,81;0,46;0,74;0,58;0,69;0,72;0,68;0,59;0,54;0,58;0,6;0,59;0,6;0,59
"sub00598";0,15;0,54;0,999;0,51;0,28;0,22;0,38;0,49;0,71;0,61;0,001;0,03;0,12;0,72;0,73;0,41;0,05
"sub00871";0,5;0,36;0,75;0,94;0,52;0,75;0,8;0,85;0,5;0,51;0,001;0,96;0,25;0,76;0,93;0,999;0,999
"sub00967";0,79;0,33;0,24;0,999;0,999;0,89;0,999;0,999;0,85;0,8;0,001;0,98;0,98;0,999;0,999;0,999;0,999
"sub01015";0,79;0,33;0,15;0,35;0,83;0,96;0,82;0,84;0,13;0,3;0,23;0,14;0,38;0,07;0,7;0,25;0,6
"sub01348";0,67;0,56;0,6;0,91;0,999;0,77;0,74;0,75;0,999;0,67;0,02;0,999;0,23;0,999;0,999;0,999;0,999
"sub00316";0,02;0,97;0,1;0,05;0,05;0,04;0,48;0,23;0,71;0,77;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00040";0,41;0,73;0,9;0,92;0,76;0,77;0,82;0,82;0,73;0,83;0,13;0,81;0,36;0,82;0,96;0,69;0,999
"sub01480";0,66;0,2;0,18;0,75;0,73;0,49;0,72;0,7;0,96;0,87;0,52;0,83;0,5;0,77;0,77;0,35;0,06
"sub00741";0,41;0,72;0,74;0,5;0,7;0,53;0,49;0,7;0,76;0,77;0,2;0,52;0,76;0,65;0,29;0,82;0,46
"sub00512";0,6;0,66;0,001;0,62;0,69;0,3;0,29;0,37;0,78;0,36;0,03;0,88;0,06;0,92;0,999;0,999;0,999
"sub00465";0,02;0,69;0,03;0,8;0,04;0,06;0,95;0,43;0,78;0,58;0,01;0,25;0,75;0,79;0,87;0,87;0,83
"sub01104";0,2;0,31;0,94;0,5;0,51;0,32;0,19;0,18;0,61;0,66;0,51;0,04;0,11;0,1;0,48;0,05;0,07
"sub01325";0,01;0,39;0,09;0,27;0,23;0,38;0,25;0,15;0,22;0,42;0,27;0,76;0,83;0,36;0,23;0,71;0,87
"sub00242";0,25;0,12;0,001;0,15;0,67;0,28;0,31;0,3;0,71;0,15;0,1;0,58;0,16;0,72;0,62;0,94;0,63
"sub00650";0,37;0,47;0,1;0,38;0,48;0,5;0,53;0,52;0,73;0,68;0,001;0,35;0,13;0,07;0,86;0,82;0,88
"sub01304";0,1;0,75;0,24;0,35;0,13;0,25;0,26;0,12;0,66;0,71;0,18;0,01;0,01;0,71;0,21;0,75;0,27
"sub01220";0,16;0,29;0,46;0,5;0,69;0,36;0,62;0,67;0,16;0,68;0,16;0,18;0,01;0,001;0,72;0,1;0,1
"sub00144";0,07;0,86;0,68;0,51;0,11;0,21;0,21;0,17;0,78;0,79;0,01;0,59;0,49;0,64;0,98;0,88;0,49
"sub00890";0,52;0,54;0,98;0,25;0,49;0,51;0,6;0,999;0,22;0,73;0,001;0,001;0,68;0,75;0,97;0,96;0,17
"sub00292";0,72;0,66;0,3;0,45;0,61;0,63;0,57;0,59;0,65;0,47;0,21;0,75;0,19;0,74;0,53;0,63;0,6
"sub00784";0,59;0,49;0,76;0,3;0,64;0,57;0,58;0,61;0,71;0,43;0,001;0,999;0,001;0,001;0,999;0,999;0,001
"sub00397";0,68;0,28;0,23;0,66;0,7;0,69;0,72;0,73;0,73;0,42;0,06;0,61;0,81;0,14;0,999;0,999;0,999
"sub00550";0,14;0,76;0,05;0,09;0,06;0,49;0,85;0,92;0,42;0,76;0,001;0,63;0,95;0,51;0,999;0,999;0,94
"sub01520";0,18;0,21;0,6;0,62;0,81;0,26;0,32;0,5;0,73;0,51;0,51;0,12;0,08;0,07;0,22;0,07;0,03
"sub01497";0,16;0,98;0,96;0,86;0,66;0,56;0,75;0,63;0,58;0,45;0,6;0,53;0,18;0,28;0,48;0,64;0,78
"sub00622";0,35;0,29;0,76;0,76;0,73;0,64;0,52;0,55;0,53;0,53;0,08;0,84;0,999;0,84;0,999;0,999;0,98
"sub00002";0,29;0,44;0,53;0,34;0,65;0,45;0,6;0,47;0,46;0,45;0,43;0,35;0,57;0,5;0,74;0,62;0,65
"sub01195";0,44;0,69;0,06;0,7;0,37;0,25;0,42;0,54;0,78;0,33;0,02;0,03;0,06;0,001;0,999;0,07;0,38
"sub01438";0,48;0,37;0,17;0,59;0,48;0,54;0,61;0,67;0,66;0,62;0,001;0,75;0,24;0,2;0,73;0,66;0,04
"sub00836";0,49;0,12;0,18;0,91;0,77;0,52;0,5;0,5;0,26;0,53;0,17;0,1;0,001;0,64;0,04;0,001;0,01
"sub01180";0,79;0,3;0,37;0,52;0,74;0,72;0,79;0,73;0,84;0,64;0,27;0,82;0,18;0,87;0,9;0,999;0,73
"sub01459";0,13;0,999;0,1;0,09;0,06;0,08;0,11;0,57;0,25;0,59;0,04;0,89;0,82;0,96;0,88;0,93;0,38
"sub01127";0,52;0,28;0,15;0,49;0,71;0,53;0,52;0,52;0,97;0,5;0,1;0,08;0,07;0,51;0,88;0,86;0,84
